x,y,yaw
-4.502708816528320312e+01,5.551783084869384766e+00,2.083408355712890625e+00
-4.512502670288085938e+01,5.726115226745605469e+00,2.081889629364013672e+00
-4.522270202636718750e+01,5.900594711303710938e+00,2.080396890640258789e+00
-4.532012176513671875e+01,6.075218677520751953e+00,2.078930139541625977e+00
-4.541728210449218750e+01,6.249984264373779297e+00,2.077489376068115234e+00
-4.551419830322265625e+01,6.424888134002685547e+00,2.076074361801147461e+00
-4.561086654663085938e+01,6.599927902221679688e+00,2.074685096740722656e+00
-4.570729446411132812e+01,6.775100231170654297e+00,2.073321819305419922e+00
-4.580348587036132812e+01,6.950403213500976562e+00,2.071984291076660156e+00
-4.589944076538085938e+01,7.125833034515380859e+00,2.070672750473022461e+00
-4.599517440795898438e+01,7.301386833190917969e+00,2.069386720657348633e+00
-4.609067916870117188e+01,7.477063655853271484e+00,2.068126678466796875e+00
-4.618596649169921875e+01,7.652858257293701172e+00,2.066892385482788086e+00
-4.628104019165039062e+01,7.828769683837890625e+00,2.065683603286743164e+00
-4.637590408325195312e+01,8.004795074462890625e+00,2.064500808715820312e+00
-4.647056198120117188e+01,8.180930137634277344e+00,2.063343763351440430e+00
-4.656501770019531250e+01,8.357174873352050781e+00,2.062212228775024414e+00
-4.665927505493164062e+01,8.533523559570312500e+00,2.061106443405151367e+00
-4.675333786010742188e+01,8.709976196289062500e+00,2.060026407241821289e+00
-4.684721374511718750e+01,8.886528968811035156e+00,2.058971881866455078e+00
-4.694090652465820312e+01,9.063179016113281250e+00,2.057942867279052734e+00
-4.703442001342773438e+01,9.239925384521484375e+00,2.056939601898193359e+00
-4.712775802612304688e+01,9.416762351989746094e+00,2.055962085723876953e+00
-4.722092819213867188e+01,9.593690872192382812e+00,2.055010080337524414e+00
-4.731392669677734375e+01,9.770706176757812500e+00,2.054083585739135742e+00
-4.740676498413085938e+01,9.947806358337402344e+00,2.053182840347290039e+00
-4.749945068359375000e+01,1.012499046325683594e+01,2.052307605743408203e+00
-4.759197998046875000e+01,1.030225181579589844e+01,2.051457881927490234e+00
-4.768436050415039062e+01,1.047959232330322266e+01,2.050633430480957031e+00
-4.777659606933593750e+01,1.065700721740722656e+01,2.049834728240966797e+00
-4.786869430541992188e+01,1.083449363708496094e+01,2.049061536788940430e+00
-4.796065521240234375e+01,1.101205253601074219e+01,2.048313856124877930e+00
-4.805248641967773438e+01,1.118967533111572266e+01,2.047591686248779297e+00
-4.814419555664062500e+01,1.136736679077148438e+01,2.046894788742065430e+00
-4.823577880859375000e+01,1.154511928558349609e+01,2.046223640441894531e+00
-4.832724380493164062e+01,1.172293090820312500e+01,2.045577764511108398e+00
-4.841860198974609375e+01,1.190080356597900391e+01,2.044957160949707031e+00
-4.850984573364257812e+01,1.207872867584228516e+01,2.044362306594848633e+00
-4.860099029541015625e+01,1.225670814514160156e+01,2.043792486190795898e+00
